0,cost,view-change-cost,threat-cost,crash,Discretionary
0,2068,0,2068,false,0
0,2133,0,2133,false,0
0,2150,0,2150,false,0
0,2124,0,2124,false,0
0,2264,0,2264,false,0
0,2215,0,2215,false,0
0,2009,0,2009,false,0
0,2202,0,2202,false,0
0,2113,0,2113,false,0
