start_height,avg_rcpt,avg_rcpt_var,avg_bct,std_bct,label,alpha,beta,K,utility_value,TO,PDT,TO-PDT,Differ,Differ_Normal,compute_utility_overhead (s),defense_overhead(s),training_overhead (s),feature_extraction_overhead (s),inference_overhead (s),episode_duration (s)
31,943.3524474645606,630.0983367183286,403.0948384869337,1000,0,0.1,0.1,4,0.06206034164520434,3000.0,559.7507425289223,2440.2492574710777,2440.2492574710777,4.06708209578513,5.984306335449219e-05,2.384185791015625e-07,0.06265425682067871,7.486343383789062e-05,0.0035371780395507812,0
32,889.3266865667979,615.7116878544821,559.7507425289223,1000,0,0.8,0.5,4.0,0.26532688623494577,1988.9196846606117,1558.3771005520593,430.5425841085523,430.5425841085523,0.7175709735142544,8.559226989746094e-05,4.76837158203125e-07,0.06216883659362793,7.462501525878906e-05,0.0033140182495117188,0
33,625.6659313364974,340.8134383310286,1558.3771005520593,1000,0,0.9,0.4,5.0,0.1258093423711219,2674.0885324667015,456.1335290670491,2217.9550033996525,2217.9550033996525,3.6965916723327545,9.751319885253906e-05,4.76837158203125e-07,0.06211590766906738,7.343292236328125e-05,0.0033600330352783203,0
34,1465.1059836305033,241.7965097672396,456.1335290670491,1000,0,0.8,0.5,8.0,0.2623597718758108,2432.2920226994615,458.9024731347799,1973.3895495646816,1973.3895495646816,3.2889825826078027,8.440017700195312e-05,2.384185791015625e-07,0.06250166893005371,7.343292236328125e-05,0.0034885406494140625,0
35,657.9280199797399,221.7955003399652,458.9024731347799,1000,0,0.5,0.5,3.0,0.22175613878285327,1040.3776572009278,671.6895745119964,368.68808268893144,368.68808268893144,0.6144801378148852,8.273124694824219e-05,2.384185791015625e-07,0.06285405158996582,7.534027099609375e-05,0.0033969879150390625,0
36,558.4152465572599,160.65413688122263,671.6895745119964,1000,0,0.7,0.5,8.0,0.8366355757959649,1416.2530171961498,473.4366879920704,942.8163292040795,942.8163292040795,1.571360548673466,8.344650268554688e-05,4.76837158203125e-07,0.06280970573425293,7.510185241699219e-05,0.0034894943237304688,0
37,637.7072761255754,97.31821763382182,473.4366879920704,1000,0,0.7,0.8,7.0,0.17632379618360955,934.937957183761,643.0648020709958,291.8731551127652,291.8731551127652,0.4864552585212758,8.344650268554688e-05,2.384185791015625e-07,0.06267309188842773,7.295608520507812e-05,0.0034704208374023438,0
38,522.7178644321219,58.88858467880558,643.0648020709958,1000,0,0.7,0.8,8.0,0.1489328934709874,932.2485765320605,695.7125601351804,236.5360163968801,236.5360163968801,0.39422669399480004,9.5367431640625e-05,4.76837158203125e-07,0.06259346008300781,7.319450378417969e-05,0.0034401416778564453,0
39,606.9607207793337,40.66098196909085,695.7125601351804,1000,0,0.7,0.6,8.0,0.17259992714952765,927.0047993019366,642.179574539881,284.82522476205565,284.82522476205565,0.47470870793675957,8.487701416015625e-05,2.384185791015625e-07,0.06286168098449707,7.43865966796875e-05,0.0034856796264648438,0
40,669.0870083284264,32.239723871688774,642.179574539881,1000,0,0.9,0.4,5.0,0.07487748535646518,746.970976291511,728.8690967428666,18.10187954864432,18.10187954864432,0.03016979924773988,8.463859558105469e-05,2.384185791015625e-07,0.06295037269592285,7.462501525878906e-05,0.0034630298614501953,0
